"filename", "language", "JavaScript", "JavaScript React", "CSS", "JSON", "Markdown", "HTML", "SQL", "comment", "blank", "total"
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/EditStudent.jsx", "JavaScript React", 0, 137, 0, 0, 0, 0, 0, 0, 11, 148
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/Program.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/Staff.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/StudentSearch.css", "CSS", 0, 0, 167, 0, 0, 0, 0, 30, 30, 227
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/App/App.css", "CSS", 0, 0, 81, 0, 0, 0, 0, 14, 18, 113
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/App/App.jsx", "JavaScript React", 0, 158, 0, 0, 0, 0, 0, 17, 20, 195
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AttendancePage/AttendancePage.jsx", "JavaScript React", 0, 160, 0, 0, 0, 0, 0, 3, 22, 185
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/DataGrid/ProgramDataGrid.jsx", "JavaScript React", 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/DataGrid/StaffDataGrid.jsx", "JavaScript React", 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/DataGrid/StudentDataGrid.jsx", "JavaScript React", 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Footer/Footer.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Footer/Footer.jsx", "JavaScript React", 0, 6, 0, 0, 0, 0, 0, 4, 4, 14
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/InfoPage/InfoPage.jsx", "JavaScript React", 0, 9, 0, 0, 0, 0, 0, 4, 4, 17
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/LandingPage/LandingPage.css", "CSS", 0, 0, 61, 0, 0, 0, 0, 5, 15, 81
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/LandingPage/LandingPage.jsx", "JavaScript React", 0, 59, 0, 0, 0, 0, 0, 1, 10, 70
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/LogOutButton/LogOutButton.jsx", "JavaScript React", 0, 14, 0, 0, 0, 0, 0, 3, 3, 20
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/LoginForm/LoginForm.jsx", "JavaScript React", 0, 73, 0, 0, 0, 0, 0, 0, 6, 79
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/LoginPage/LoginPage.jsx", "JavaScript React", 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Nav/Nav.css", "CSS", 0, 0, 32, 0, 0, 0, 0, 3, 7, 42
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Nav/Nav.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 3, 11, 63
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/ProtectedRoute/ProtectedRoute.jsx", "JavaScript React", 0, 20, 0, 0, 0, 0, 0, 15, 8, 43
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/RegisterForm/RegisterForm.jsx", "JavaScript React", 0, 137, 0, 0, 0, 0, 0, 2, 8, 147
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/RegisterPage/RegisterPage.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Search/ProgramSearch.jsx", "JavaScript React", 0, 66, 0, 0, 0, 0, 0, 0, 10, 76
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Search/StaffSearch.jsx", "JavaScript React", 0, 64, 0, 0, 0, 0, 0, 4, 8, 76
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Search/StudentSearch.jsx", "JavaScript React", 0, 64, 0, 0, 0, 0, 0, 5, 9, 78
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/TeacherPortal/TeacherPortal.jsx", "JavaScript React", 0, 57, 0, 0, 0, 0, 0, 0, 5, 62
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/TemplateClass/TemplateClass.jsx", "JavaScript React", 0, 20, 0, 0, 0, 0, 0, 6, 7, 33
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/TemplateFunction/TemplateFunction.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 0, 5, 4, 21
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/UserPage/UserPage.jsx", "JavaScript React", 0, 13, 0, 0, 0, 0, 0, 2, 3, 18
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/hooks/useReduxStore.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 10, 6, 21
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/_root.reducer.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 5, 4, 39
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/errors.reducer.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 7, 4, 42
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/occurrenceAttendance.reducer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 2, 19
"/Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/occurrenceStudents.reducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 1, 13
