Date : 2021-10-13 09:00:23
Directory : /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021
Total : 91 files,  4256 codes, 414 comments, 719 blanks, all 5389 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/routes/student.route.js                       | JavaScript       |        174 |         10 |         22 |        206 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/routes/user.router.js                         | JavaScript       |        134 |         16 |         37 |        187 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/server.js                                     | JavaScript       |         27 |         13 |         11 |         51 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/server/strategies/user.strategy.js                   | JavaScript       |         44 |         16 |          6 |         66 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AboutPage/AboutPage.jsx               | JavaScript React |         11 |          4 |          4 |         19 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AddProgram.jsx              | JavaScript React |         95 |          3 |          9 |        107 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AddStaff.jsx                | JavaScript React |          0 |          0 |          1 |          1 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AddStudent.jsx              | JavaScript React |        143 |          3 |          9 |        155 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AdminView.css               | CSS              |         21 |          0 |          6 |         27 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AdminViewConfig.jsx         | JavaScript React |         88 |          0 |         10 |         98 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AdminViewProgram.jsx        | JavaScript React |         33 |          0 |          8 |         41 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AdminViewStaff.jsx          | JavaScript React |         34 |          0 |          7 |         41 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/AdminViewStudent.jsx        | JavaScript React |         29 |          0 |         10 |         39 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/Dashboard.css               | CSS              |          8 |          0 |          3 |         11 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/Dashboard.jsx               | JavaScript React |        140 |          1 |         19 |        160 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/EditProgram.jsx             | JavaScript React |         91 |          0 |          9 |        100 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/EditStaff.jsx               | JavaScript React |         81 |          0 |         12 |         93 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/EditStudent.jsx             | JavaScript React |        137 |          0 |         11 |        148 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/Program.css                 | CSS              |         10 |          0 |          2 |         12 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/Staff.css                   | CSS              |         11 |          0 |          2 |         13 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AdminView/StudentSearch.css           | CSS              |        167 |         30 |         30 |        227 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/App/App.css                           | CSS              |         81 |         14 |         18 |        113 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/App/App.jsx                           | JavaScript React |        158 |         17 |         20 |        195 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/AttendancePage/AttendancePage.jsx     | JavaScript React |        160 |          3 |         22 |        185 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/DataGrid/ProgramDataGrid.jsx          | JavaScript React |         30 |          0 |          5 |         35 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/DataGrid/StaffDataGrid.jsx            | JavaScript React |         28 |          0 |          4 |         32 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/DataGrid/StudentDataGrid.jsx          | JavaScript React |         31 |          0 |          6 |         37 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Footer/Footer.css                     | CSS              |          7 |          0 |          1 |          8 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Footer/Footer.jsx                     | JavaScript React |          6 |          4 |          4 |         14 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/InfoPage/InfoPage.jsx                 | JavaScript React |          9 |          4 |          4 |         17 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/LandingPage/LandingPage.css           | CSS              |         61 |          5 |         15 |         81 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/LandingPage/LandingPage.jsx           | JavaScript React |         59 |          1 |         10 |         70 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/LogOutButton/LogOutButton.jsx         | JavaScript React |         14 |          3 |          3 |         20 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/LoginForm/LoginForm.jsx               | JavaScript React |         73 |          0 |          6 |         79 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/LoginPage/LoginPage.jsx               | JavaScript React |         24 |          0 |          5 |         29 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Nav/Nav.css                           | CSS              |         32 |          3 |          7 |         42 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Nav/Nav.jsx                           | JavaScript React |         49 |          3 |         11 |         63 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/ProtectedRoute/ProtectedRoute.jsx     | JavaScript React |         20 |         15 |          8 |         43 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/RegisterForm/RegisterForm.jsx         | JavaScript React |        137 |          2 |          8 |        147 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/RegisterPage/RegisterPage.jsx         | JavaScript React |         12 |          0 |          5 |         17 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Search/ProgramSearch.jsx              | JavaScript React |         66 |          0 |         10 |         76 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Search/StaffSearch.jsx                | JavaScript React |         64 |          4 |          8 |         76 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/Search/StudentSearch.jsx              | JavaScript React |         64 |          5 |          9 |         78 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/TeacherPortal/TeacherPortal.jsx       | JavaScript React |         57 |          0 |          5 |         62 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/TemplateClass/TemplateClass.jsx       | JavaScript React |         20 |          6 |          7 |         33 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/TemplateFunction/TemplateFunction.jsx | JavaScript React |         12 |          5 |          4 |         21 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/components/UserPage/UserPage.jsx                 | JavaScript React |         13 |          2 |          3 |         18 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/hooks/useReduxStore.js                           | JavaScript       |          5 |         10 |          6 |         21 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/index.js                                         | JavaScript       |         11 |          0 |          4 |         15 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/_root.reducer.js                  | JavaScript       |         30 |          5 |          4 |         39 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/errors.reducer.js                 | JavaScript       |         31 |          7 |          4 |         42 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/occurrenceAttendance.reducer.js   | JavaScript       |         15 |          2 |          2 |         19 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/occurrenceStudents.reducer.js     | JavaScript       |         11 |          1 |          1 |         13 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/occurrenceToEdit.reducer.js       | JavaScript       |         11 |          1 |          1 |         13 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/program.reducer.js                | JavaScript       |         11 |          1 |          1 |         13 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/programToEdit.reducer.js          | JavaScript       |         11 |          1 |          1 |         13 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/programsByTeacher.js              | JavaScript       |          9 |          1 |          1 |         11 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/programsByTeacher.reducer.js      | JavaScript       |          9 |          1 |          1 |         11 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/settings.reducer.js               | JavaScript       |          9 |          1 |          1 |         11 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/staffToEdit.reducer.js            | JavaScript       |         11 |          1 |          1 |         13 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/student.reducer.js                | JavaScript       |         11 |          1 |          5 |         17 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/studentToEdit.reducer.js          | JavaScript       |         11 |          1 |          1 |         13 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/teacher.reducer.js                | JavaScript       |         11 |          1 |          1 |         13 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/reducers/user.reducer.js                   | JavaScript       |         11 |          2 |          2 |         15 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/_root.saga.js                        | JavaScript       |         17 |          6 |          3 |         26 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/admin.saga.js                        | JavaScript       |        141 |         28 |         14 |        183 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/login.saga.js                        | JavaScript       |         37 |         20 |         10 |         67 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/registration.saga.js                 | JavaScript       |         17 |          6 |          7 |         30 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/settings.saga.js                     | JavaScript       |         15 |          2 |          4 |         21 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/teacher.saga.js                      | JavaScript       |         75 |          4 |          8 |         87 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/sagas/user.saga.js                         | JavaScript       |         18 |          8 |          6 |         32 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/redux/store.js                                   | JavaScript       |         15 |          8 |          6 |         29 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/utility/formatDateForField.js                    | JavaScript       |         14 |          1 |          5 |         20 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/utility/getHumanReadableTime.js                  | JavaScript       |         11 |          1 |          2 |         14 |
| /Users/curtiskettler/Google Drive/Coding/Prime/Tier3/prime-group-project-2021/src/utility/getMonthDDYYYY.js                        | JavaScript       |          5 |          1 |          2 |          8 |
| Total                                                                                                                              |                  |      4,256 |        414 |        719 |      5,389 |
+------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
